,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
0,2001827036,1091122418320,1.27,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
1,2001827036,1091122418320,1.5,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
2,2001827036,1091122418320,1.0,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
3,2001827036,1091122418320,1.65,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
4,2001827036,1091122418320,3.5,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
5,2001827036,1091122418320,5.0,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
6,2001827036,1091122418320,1.37,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
7,2001827036,1091122418320,0.1,1.6,b,b,Forward charges,0.5,61.3,117.9,56.60000000000001
8,2001821995,1091121183730,1.27,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
9,2001821995,1091121183730,3.5,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
10,2001819252,1091120352712,1.27,0.3,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
11,2001819252,1091120352712,0.1,0.3,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
12,2001819252,1091120352712,1.33,0.3,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
13,2001816996,1091119429202,1.27,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
14,2001816996,1091119429202,2.4,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
15,2001816996,1091119429202,1.33,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
16,2001814580,1091118925110,1.27,0.15,d,d,Forward and RTO charges,1.25,90.19999999999999,86.7,-3.499999999999986
17,2001813009,1091118553701,1.27,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
18,2001813009,1091118553701,2.4,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
19,2001813009,1091118553701,1.33,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
20,2001813009,1091118553701,1.2,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
21,2001813009,1091118553701,1.0,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
22,2001812941,1091118551656,1.27,0.73,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
23,2001812941,1091118551656,2.4,0.73,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
24,2001812941,1091118551656,1.33,0.73,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
25,2001812195,1091118442390,1.27,0.67,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
26,2001812195,1091118442390,2.4,0.67,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
27,2001812195,1091118442390,1.33,0.67,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
28,2001811809,1091118009786,1.27,0.5,d,d,Forward and RTO charges,1.25,90.19999999999999,86.7,-3.499999999999986
29,2001811809,1091118009786,2.4,0.5,d,d,Forward and RTO charges,1.25,90.19999999999999,86.7,-3.499999999999986
30,2001811809,1091118009786,1.33,0.5,d,d,Forward and RTO charges,1.25,90.19999999999999,86.7,-3.499999999999986
31,2001811475,1091121844806,1.27,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
32,2001811475,1091121844806,2.4,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
33,2001811475,1091121844806,1.12,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
34,2001811475,1091121844806,2.1,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
35,2001811466,1091118001865,1.27,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
36,2001811466,1091118001865,2.4,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
37,2001811153,1091117957533,1.27,0.76,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
38,2001811153,1091117957533,2.4,0.76,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
39,2001811058,1091117905022,1.27,0.72,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
40,2001811058,1091117905022,2.4,0.72,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
41,2001811058,1091117905022,1.33,0.72,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
42,2001811039,1091117904860,1.27,0.68,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
43,2001811039,1091117904860,2.4,0.68,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
44,2001811039,1091117904860,1.21,0.68,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
45,2001810697,1091117807140,1.27,2.27,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
46,2001810697,1091117807140,2.4,2.27,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
47,2001810281,1091117805390,1.27,0.68,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
